ve,vf,vr,df,dr,d_safe_f,d_safe_r,delta_df,u_total
0.3,0.24556554773300684,0.2563867153559779,0.9549399245732083,1.6333768279917507,0.45999999999999996,0.42947070074918453,0.49493992457320835,0.0
0.3,0.24413845401367687,0.25647398963351575,0.949496479346509,1.6377381564561528,0.45999999999999996,0.429531792743461,0.4894964793465091,0.0
0.3,0.2427827149803134,0.2565569001971767,0.9439103247478767,1.6420907574928012,0.45999999999999996,0.42958983013802365,0.48391032474787676,0.0
0.3,0.2414947628986181,0.25663566523265463,0.9381885962459081,1.6464350674730834,0.45999999999999996,0.42964496566285826,0.47818859624590815,0.0
0.3,0.24027120842100758,0.25671049201635865,0.93233807253577,1.650771500949818,0.45999999999999996,0.429697344411451,0.47233807253577,0.0
0.3,0.23910883166727756,0.2567815774608775,0.9263651933778707,1.6551004517481822,0.45999999999999996,0.4297471042226142,0.46636519337787075,0.0
0.3,0.23800457375123404,0.25684910863317034,0.9202760765445984,1.6594222940020944,0.45999999999999996,0.42979437604321924,0.46027607654459846,0.0
0.3,0.2369555287309927,0.2569132632468486,0.9140765339197219,1.6637373831387774,0.45999999999999996,0.429839284272794,0.4540765339197219,0.0
0.3,0.23595893596176346,0.25697421012984295,0.9077720867928212,1.6680460568140925,0.45999999999999996,0.42988194709089006,0.4477720867928212,0.0
0.3,0.23501217283099565,0.25703210966868756,0.9013679803889976,1.6723486358011082,0.45999999999999996,0.42992247676808126,0.4413679803889976,0.0
0.3,0.23411274785676625,0.25708711423058994,0.8948691976720972,1.6766454248342395,0.45999999999999996,0.4299609799614129,0.4348691976720972,0.0
0.3,0.23325829413124832,0.25713936856439723,0.8882804724577738,1.6809367134111806,0.45999999999999996,0.42999755799507805,0.4282804724577738,0.0
0.3,0.2324465630920063,0.25718901018151413,0.8816063018708986,1.6852227765547407,0.45999999999999996,0.43003230712705987,0.42160630187089865,0.0
0.3,0.23167541860472635,0.2572361697177752,0.8748509581800993,1.6895038755365892,0.45999999999999996,0.4300653188024426,0.4148509581800993,0.0
0.3,0.2309428313418104,0.25728097127722316,0.8680185000405719,1.6937802585648116,0.45999999999999996,0.4300966798940562,0.40801850004057194,0.0
0.3,0.23024687344204026,0.25732353275869874,0.8611127831747529,1.6980521614370894,0.45999999999999996,0.4301264729310891,0.40111278317475296,0.0
0.3,0.22958571343725862,0.2573639661661006,0.8541374705189569,1.7023198081612194,0.45999999999999996,0.4301547763162704,0.394137470518957,0.0
0.3,0.22895761143271606,0.2574023779031323,0.8470960418626828,1.7065834115446095,0.45999999999999996,0.43018166453219264,0.38709604186268287,0.0
0.3,0.22836091452840063,0.2574388690533124,0.8399918030059544,1.7108431737542962,0.45999999999999996,0.4302072083373187,0.3799918030059545,0.0
0.3,0.22779405246930096,0.2574735356459836,0.8328278944587945,1.715099286848965,0.45999999999999996,0.4302314749521885,0.3728278944587945,0.0
0.3,0.22725553351315628,0.2575064689090212,0.8256072997057246,1.7193519332843665,0.45999999999999996,0.4302545282363148,0.3656072997057246,0.0
0.3,0.22674394050481883,0.2575377555089069,0.8183328530570402,1.7236012863934644,0.45999999999999996,0.43027642885623485,0.3583328530570402,0.0
0.3,0.22625792714689827,0.2575674777787983,0.811007247107522,1.7278475108425737,0.45999999999999996,0.43029723444515877,0.35100724710752207,0.0
0.3,0.22579621445687373,0.25759571393519515,0.8036330398222119,1.7320907630646938,0.45999999999999996,0.43031699975463655,0.34363303982221194,0.0
